date,delta
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,1
2020-06-19,1
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,1
2020-06-24,0
2020-06-25,0
2020-06-26,1
2020-06-27,0
2020-06-28,0
2020-06-29,1
2020-06-30,1
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,1
2020-07-09,1
2020-07-10,1
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,2
2020-07-17,0
2020-07-18,0
2020-07-19,1
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,1
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,1
2020-08-18,1
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,1
2020-09-04,0
2020-09-05,1
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,1
2020-09-10,0
2020-09-11,1
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,1
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,1
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,1
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,1
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,1
2020-10-23,1
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,1
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,1
2020-11-13,0
2020-11-14,2
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,1
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,1
2020-11-27,0
2020-11-28,1
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,1
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,1
2020-12-13,0
2020-12-14,0
2020-12-15,1
2020-12-16,0
2020-12-17,1
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,2
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,1
2020-12-29,1
2020-12-30,0
2020-12-31,1
2021-01-01,2
2021-01-02,0
2021-01-03,1
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,1
2021-01-08,0
2021-01-09,2
2021-01-10,1
2021-01-11,1
2021-01-12,0
2021-01-13,1
2021-01-14,1
2021-01-15,1
2021-01-16,3
2021-01-17,1
2021-01-18,4
2021-01-19,3
2021-01-20,0
2021-01-21,3
2021-01-22,1
2021-01-23,1
2021-01-24,0
2021-01-25,0
2021-01-26,2
2021-01-27,1
2021-01-28,3
2021-01-29,8
2021-01-30,4
2021-01-31,3
2021-02-01,2
2021-02-02,3
2021-02-03,3
2021-02-04,1
2021-02-05,2
2021-02-06,3
2021-02-07,0
2021-02-08,4
2021-02-09,7
2021-02-10,14
2021-02-11,3
2021-02-12,5
2021-02-13,5
2021-02-14,7
2021-02-15,6
2021-02-16,11
2021-02-17,4
2021-02-18,1
2021-02-19,10
2021-02-20,5
2021-02-21,6
2021-02-22,6
2021-02-23,11
2021-02-24,7
2021-02-25,3
2021-02-26,6
2021-02-27,13
2021-02-28,3
2021-03-01,9
2021-03-02,13
2021-03-03,15
2021-03-04,18
2021-03-05,13
2021-03-06,26
2021-03-07,14
2021-03-08,12
2021-03-09,17
2021-03-10,19
2021-03-11,24
2021-03-12,30
2021-03-13,31
2021-03-14,27
2021-03-15,23
2021-03-16,25
2021-03-17,26
2021-03-18,28
2021-03-19,26
2021-03-20,24
2021-03-21,7
2021-03-22,32
2021-03-23,22
2021-03-24,24
2021-03-25,31
2021-03-26,18
2021-03-27,32
2021-03-28,5
2021-03-29,10
2021-03-30,26
2021-03-31,29
2021-04-01,35
2021-04-02,41
2021-04-03,28
2021-04-04,24
2021-04-05,26
2021-04-06,24
2021-04-07,49
2021-04-08,44
2021-04-09,51
2021-04-10,57
2021-04-11,14
2021-04-12,40
2021-04-13,48
2021-04-14,52
2021-04-15,56
2021-04-16,47
2021-04-17,34
2021-04-18,32
2021-04-19,48
2021-04-20,43
2021-04-21,49
2021-04-22,58
2021-04-23,41
2021-04-24,34
2021-04-25,32
2021-04-26,30
2021-04-27,39
2021-04-28,39
2021-04-29,38
2021-04-30,45
2021-05-01,29
2021-05-02,22
2021-05-03,40
2021-05-04,47
2021-05-05,36
2021-05-06,27
2021-05-07,39
2021-05-08,25
2021-05-09,19
2021-05-10,29
2021-05-11,24
2021-05-12,36
2021-05-13,28
2021-05-14,38
2021-05-15,16
2021-05-16,5
2021-05-17,7
2021-05-18,8
2021-05-19,15
2021-05-20,5
2021-05-21,20
2021-05-22,4
2021-05-23,3
2021-05-24,8
2021-05-25,3
2021-05-26,10
2021-05-27,7
2021-05-28,5
2021-05-29,9
2021-05-30,3
2021-05-31,7
2021-06-01,5
2021-06-02,11
2021-06-03,8
2021-06-04,3
2021-06-05,9
2021-06-06,8
2021-06-07,10
2021-06-08,10
2021-06-09,3
2021-06-10,16
2021-06-11,11
2021-06-12,18
2021-06-13,12
2021-06-14,8
2021-06-15,11
2021-06-16,18
2021-06-17,11
2021-06-18,14
2021-06-19,9
2021-06-20,3
2021-06-21,15
2021-06-22,5
2021-06-23,14
2021-06-24,12
2021-06-25,15
2021-06-26,8
2021-06-27,2
2021-06-28,4
2021-06-29,14
2021-06-30,8
2021-07-01,6
2021-07-02,4
2021-07-03,4
2021-07-04,6
2021-07-05,5
2021-07-06,14
2021-07-07,18
2021-07-08,17
2021-07-09,25
2021-07-10,19
2021-07-11,21
2021-07-12,22
2021-07-13,43
2021-07-14,33
2021-07-15,46
2021-07-16,41
2021-07-17,55
2021-07-18,47
2021-07-19,54
2021-07-20,66
2021-07-21,78
2021-07-22,63
2021-07-23,57
2021-07-24,63
2021-07-25,68
2021-07-26,85
2021-07-27,82
2021-07-28,52
2021-07-29,164
2021-07-30,131
2021-07-31,71
2021-08-01,63
2021-08-02,55
2021-08-03,93
2021-08-04,169
2021-08-05,151
2021-08-06,70
2021-08-07,68
2021-08-08,70
2021-08-09,65
2021-08-10,41
2021-08-11,34
2021-08-12,51
2021-08-13,20
2021-08-14,9
2021-08-15,12
2021-08-16,34
2021-08-17,21
2021-08-18,5
2021-08-19,10
2021-08-20,8
2021-08-21,8
2021-08-22,2
2021-08-23,1
2021-08-24,15
2021-08-25,6
2021-08-26,2
2021-08-27,12
2021-08-28,0
2021-08-29,7
2021-08-30,3
2021-08-31,0
2021-09-01,0
2021-09-02,0
2021-09-03,0
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,0
2021-09-08,0
2021-09-09,0
2021-09-10,0
2021-09-11,0
2021-09-12,0
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-10-31,0
