date,original,delta
2020-03-01,0,0
2020-03-02,1,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,3,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,5,0
2020-03-18,2,0
2020-03-19,5,0
2020-03-20,14,0
2020-03-21,15,0
2020-03-22,14,0
2020-03-23,17,0
2020-03-24,17,0
2020-03-25,33,0
2020-03-26,21,0
2020-03-27,26,0
2020-03-28,27,0
2020-03-29,19,0
2020-03-30,51,0
2020-03-31,30,0
2020-04-01,66,0
2020-04-02,37,0
2020-04-03,66,0
2020-04-04,30,0
2020-04-05,31,0
2020-04-06,39,0
2020-04-07,31,0
2020-04-08,29,0
2020-04-09,22,0
2020-04-10,16,0
2020-04-11,57,0
2020-04-12,31,0
2020-04-13,23,0
2020-04-14,8,0
2020-04-15,48,0
2020-04-16,40,0
2020-04-17,16,0
2020-04-18,19,0
2020-04-19,15,0
2020-04-20,13,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,25,0
2020-04-24,16,0
2020-04-25,16,0
2020-04-26,12,0
2020-04-27,13,0
2020-04-28,27,0
2020-04-29,21,0
2020-04-30,31,0
2020-05-01,74,0
2020-05-02,37,0
2020-05-03,29,0
2020-05-04,19,0
2020-05-05,13,0
2020-05-06,22,0
2020-05-07,20,0
2020-05-08,21,0
2020-05-09,28,0
2020-05-10,20,0
2020-05-11,27,0
2020-05-12,18,0
2020-05-13,34,0
2020-05-14,31,0
2020-05-15,31,0
2020-05-16,31,0
2020-05-17,31,0
2020-05-18,17,0
2020-05-19,22,0
2020-05-20,68,0
2020-05-21,24,0
2020-05-22,33,0
2020-05-23,21,0
2020-05-24,77,0
2020-05-25,51,0
2020-05-26,21,0
2020-05-27,28,0
2020-05-28,56,0
2020-05-29,35,0
2020-05-30,81,0
2020-05-31,50,0
2020-06-01,33,0
2020-06-02,74,0
2020-06-03,113,0
2020-06-04,55,0
2020-06-05,102,0
2020-06-06,102,0
2020-06-07,93,0
2020-06-08,82,0
2020-06-09,93,0
2020-06-10,142,0
2020-06-11,117,0
2020-06-12,144,0
2020-06-13,170,0
2020-06-14,224,0
2020-06-15,182,0
2020-06-16,242,0
2020-06-17,221,0
2020-06-18,297,1
2020-06-19,397,1
2020-06-20,398,0
2020-06-21,352,0
2020-06-22,296,0
2020-06-23,733,1
2020-06-24,457,0
2020-06-25,673,0
2020-06-26,1114,1
2020-06-27,788,0
2020-06-28,412,0
2020-06-29,432,1
2020-06-30,703,1
2020-07-01,888,0
2020-07-02,671,0
2020-07-03,652,0
2020-07-04,626,0
2020-07-05,341,0
2020-07-06,666,0
2020-07-07,742,0
2020-07-08,565,1
2020-07-09,979,1
2020-07-10,690,1
2020-07-11,789,0
2020-07-12,664,0
2020-07-13,686,0
2020-07-14,500,0
2020-07-15,536,0
2020-07-16,932,2
2020-07-17,584,0
2020-07-18,622,0
2020-07-19,433,1
2020-07-20,411,0
2020-07-21,345,0
2020-07-22,542,0
2020-07-23,603,0
2020-07-24,594,0
2020-07-25,444,0
2020-07-26,399,0
2020-07-27,337,0
2020-07-28,440,0
2020-07-29,476,0
2020-07-30,376,0
2020-07-31,468,0
2020-08-01,523,0
2020-08-02,375,0
2020-08-03,357,0
2020-08-04,401,0
2020-08-05,370,1
2020-08-06,295,0
2020-08-07,406,0
2020-08-08,316,0
2020-08-09,139,0
2020-08-10,260,0
2020-08-11,192,0
2020-08-12,227,0
2020-08-13,258,0
2020-08-14,334,0
2020-08-15,209,0
2020-08-16,122,0
2020-08-17,240,1
2020-08-18,244,1
2020-08-19,208,0
2020-08-20,239,0
2020-08-21,272,0
2020-08-22,142,0
2020-08-23,93,0
2020-08-24,134,0
2020-08-25,199,0
2020-08-26,196,0
2020-08-27,220,0
2020-08-28,208,0
2020-08-29,230,0
2020-08-30,111,0
2020-08-31,313,0
2020-09-01,209,0
2020-09-02,154,0
2020-09-03,161,1
2020-09-04,279,0
2020-09-05,146,1
2020-09-06,114,0
2020-09-07,108,0
2020-09-08,136,0
2020-09-09,122,1
2020-09-10,214,0
2020-09-11,157,1
2020-09-12,143,0
2020-09-13,166,0
2020-09-14,162,0
2020-09-15,136,1
2020-09-16,241,0
2020-09-17,207,0
2020-09-18,243,0
2020-09-19,169,0
2020-09-20,150,0
2020-09-21,103,0
2020-09-22,163,0
2020-09-23,183,0
2020-09-24,144,0
2020-09-25,221,0
2020-09-26,101,0
2020-09-27,122,0
2020-09-28,174,0
2020-09-29,140,0
2020-09-30,154,0
2020-10-01,195,0
2020-10-02,207,0
2020-10-03,132,0
2020-10-04,136,0
2020-10-05,143,0
2020-10-06,143,0
2020-10-07,264,1
2020-10-08,225,0
2020-10-09,82,0
2020-10-10,228,0
2020-10-11,119,0
2020-10-12,196,0
2020-10-13,181,1
2020-10-14,154,0
2020-10-15,186,0
2020-10-16,276,0
2020-10-17,177,0
2020-10-18,86,1
2020-10-19,248,0
2020-10-20,135,0
2020-10-21,351,0
2020-10-22,219,1
2020-10-23,281,1
2020-10-24,115,0
2020-10-25,169,0
2020-10-26,285,0
2020-10-27,226,0
2020-10-28,205,0
2020-10-29,344,0
2020-10-30,139,0
2020-10-31,451,0
2020-11-01,174,0
2020-11-02,219,0
2020-11-03,223,0
2020-11-04,407,0
2020-11-05,326,0
2020-11-06,252,0
2020-11-07,406,1
2020-11-08,262,0
2020-11-09,239,0
2020-11-10,343,0
2020-11-11,376,0
2020-11-12,302,1
2020-11-13,150,0
2020-11-14,431,2
2020-11-15,266,0
2020-11-16,242,0
2020-11-17,452,0
2020-11-18,422,0
2020-11-19,468,1
2020-11-20,467,0
2020-11-21,231,0
2020-11-22,337,0
2020-11-23,332,0
2020-11-24,319,0
2020-11-25,461,0
2020-11-26,389,1
2020-11-27,356,0
2020-11-28,355,1
2020-11-29,192,0
2020-11-30,458,0
2020-12-01,509,0
2020-12-02,528,0
2020-12-03,437,0
2020-12-04,515,0
2020-12-05,502,0
2020-12-06,319,1
2020-12-07,402,0
2020-12-08,289,0
2020-12-09,925,0
2020-12-10,901,0
2020-12-11,703,0
2020-12-12,492,1
2020-12-13,536,0
2020-12-14,509,0
2020-12-15,501,1
2020-12-16,697,0
2020-12-17,950,1
2020-12-18,779,0
2020-12-19,490,0
2020-12-20,816,0
2020-12-21,522,0
2020-12-22,567,0
2020-12-23,923,2
2020-12-24,694,0
2020-12-25,412,0
2020-12-26,356,0
2020-12-27,420,0
2020-12-28,748,1
2020-12-29,658,1
2020-12-30,867,0
2020-12-31,1547,1
2021-01-01,793,2
2021-01-02,571,0
2021-01-03,560,1
2021-01-04,526,0
2021-01-05,1137,0
2021-01-06,1312,0
2021-01-07,1116,1
2021-01-08,1114,0
2021-01-09,671,2
2021-01-10,1006,1
2021-01-11,695,1
2021-01-12,823,0
2021-01-13,977,1
2021-01-14,970,1
2021-01-15,657,1
2021-01-16,771,3
2021-01-17,447,1
2021-01-18,581,4
2021-01-19,524,3
2021-01-20,839,0
2021-01-21,606,3
2021-01-22,855,1
2021-01-23,457,1
2021-01-24,493,0
2021-01-25,497,0
2021-01-26,400,2
2021-01-27,665,1
2021-01-28,518,3
2021-01-29,893,8
2021-01-30,433,4
2021-01-31,221,3
2021-02-01,556,2
2021-02-02,339,3
2021-02-03,418,3
2021-02-04,569,1
2021-02-05,345,2
2021-02-06,303,3
2021-02-07,225,0
2021-02-08,376,4
2021-02-09,392,7
2021-02-10,521,14
2021-02-11,470,3
2021-02-12,434,5
2021-02-13,356,5
2021-02-14,241,7
2021-02-15,332,6
2021-02-16,508,11
2021-02-17,292,4
2021-02-18,413,1
2021-02-19,428,10
2021-02-20,311,5
2021-02-21,209,6
2021-02-22,357,6
2021-02-23,556,11
2021-02-24,386,7
2021-02-25,355,3
2021-02-26,304,6
2021-02-27,294,13
2021-02-28,117,3
2021-03-01,428,9
2021-03-02,234,13
2021-03-03,397,15
2021-03-04,376,18
2021-03-05,254,13
2021-03-06,292,26
2021-03-07,174,14
2021-03-08,258,12
2021-03-09,352,17
2021-03-10,310,19
2021-03-11,351,24
2021-03-12,397,30
2021-03-13,243,31
2021-03-14,190,27
2021-03-15,347,23
2021-03-16,374,25
2021-03-17,343,26
2021-03-18,369,28
2021-03-19,362,26
2021-03-20,296,24
2021-03-21,149,7
2021-03-22,368,32
2021-03-23,410,22
2021-03-24,455,24
2021-03-25,486,31
2021-03-26,428,18
2021-03-27,396,32
2021-03-28,239,5
2021-03-29,255,10
2021-03-30,391,26
2021-03-31,636,29
2021-04-01,514,35
2021-04-02,456,41
2021-04-03,301,28
2021-04-04,296,24
2021-04-05,393,26
2021-04-06,473,24
2021-04-07,538,49
2021-04-08,497,44
2021-04-09,472,51
2021-04-10,428,57
2021-04-11,118,14
2021-04-12,650,40
2021-04-13,578,48
2021-04-14,536,52
2021-04-15,546,56
2021-04-16,503,47
2021-04-17,451,34
2021-04-18,295,32
2021-04-19,470,48
2021-04-20,400,43
2021-04-21,623,49
2021-04-22,393,58
2021-04-23,577,41
2021-04-24,333,34
2021-04-25,262,32
2021-04-26,444,30
2021-04-27,404,39
2021-04-28,493,39
2021-04-29,522,38
2021-04-30,433,45
2021-05-01,313,29
2021-05-02,207,22
2021-05-03,285,40
2021-05-04,385,47
2021-05-05,423,36
2021-05-06,355,27
2021-05-07,329,39
2021-05-08,208,25
2021-05-09,154,19
2021-05-10,287,29
2021-05-11,328,24
2021-05-12,369,36
2021-05-13,331,28
2021-05-14,296,38
2021-05-15,183,16
2021-05-16,110,5
2021-05-17,285,7
2021-05-18,319,8
2021-05-19,265,15
2021-05-20,257,5
2021-05-21,281,20
2021-05-22,133,4
2021-05-23,95,3
2021-05-24,186,8
2021-05-25,250,3
2021-05-26,221,10
2021-05-27,246,7
2021-05-28,170,5
2021-05-29,103,9
2021-05-30,97,3
2021-05-31,135,7
2021-06-01,160,5
2021-06-02,220,11
2021-06-03,310,8
2021-06-04,171,3
2021-06-05,77,9
2021-06-06,52,8
2021-06-07,177,10
2021-06-08,182,10
2021-06-09,211,3
2021-06-10,163,16
2021-06-11,123,11
2021-06-12,97,18
2021-06-13,65,12
2021-06-14,151,8
2021-06-15,162,11
2021-06-16,145,18
2021-06-17,190,11
2021-06-18,97,14
2021-06-19,95,9
2021-06-20,38,3
2021-06-21,149,15
2021-06-22,135,5
2021-06-23,110,14
2021-06-24,124,12
2021-06-25,137,15
2021-06-26,89,8
2021-06-27,69,2
2021-06-28,131,4
2021-06-29,165,14
2021-06-30,197,8
2021-07-01,234,6
2021-07-02,171,4
2021-07-03,109,4
2021-07-04,91,6
2021-07-05,122,5
2021-07-06,213,14
2021-07-07,271,18
2021-07-08,277,17
2021-07-09,316,25
2021-07-10,332,19
2021-07-11,291,21
2021-07-12,355,22
2021-07-13,477,43
2021-07-14,622,33
2021-07-15,632,46
2021-07-16,728,41
2021-07-17,621,55
2021-07-18,478,47
2021-07-19,741,54
2021-07-20,813,66
2021-07-21,804,78
2021-07-22,1023,63
2021-07-23,919,57
2021-07-24,852,63
2021-07-25,657,68
2021-07-26,1061,85
2021-07-27,1202,82
2021-07-28,1120,52
2021-07-29,1341,164
2021-07-30,1240,131
2021-07-31,1120,71
2021-08-01,840,63
2021-08-02,1173,55
2021-08-03,1426,93
2021-08-04,1386,169
2021-08-05,1467,151
2021-08-06,1448,70
2021-08-07,1158,68
2021-08-08,953,70
2021-08-09,1809,65
2021-08-10,2160,41
2021-08-11,1685,34
2021-08-12,1781,51
2021-08-13,1779,20
2021-08-14,1203,9
2021-08-15,1298,12
2021-08-16,1551,34
2021-08-17,1854,21
2021-08-18,1010,5
2021-08-19,2544,10
2021-08-20,1759,8
2021-08-21,1535,8
2021-08-22,1237,2
2021-08-23,1599,1
2021-08-24,2039,15
2021-08-25,1504,6
2021-08-26,2138,2
2021-08-27,0,12
2021-08-28,0,0
2021-08-29,0,7
2021-08-30,0,3
2021-08-31,0,0
2021-09-01,0,0
2021-09-02,0,0
2021-09-03,0,0
2021-09-04,0,0
2021-09-05,0,0
2021-09-06,0,0
2021-09-07,0,0
2021-09-08,0,0
2021-09-09,0,0
2021-09-10,0,0
2021-09-11,0,0
2021-09-12,0,0
2021-09-13,0,0
2021-09-14,0,0
2021-09-15,0,0
2021-09-16,0,0
2021-09-17,0,0
2021-09-18,0,0
2021-09-19,0,0
2021-09-20,0,0
2021-09-21,0,0
2021-09-22,0,0
2021-09-23,0,0
2021-09-24,0,0
2021-09-25,0,0
2021-09-26,0,0
2021-09-27,0,0
2021-09-28,0,0
2021-09-29,0,0
2021-09-30,0,0
2021-10-01,0,0
2021-10-02,0,0
2021-10-03,0,0
2021-10-04,0,0
2021-10-05,0,0
2021-10-06,0,0
2021-10-07,0,0
2021-10-08,0,0
2021-10-09,0,0
2021-10-10,0,0
2021-10-11,0,0
2021-10-12,0,0
2021-10-13,0,0
2021-10-14,0,0
2021-10-15,0,0
2021-10-16,0,0
2021-10-17,0,0
2021-10-18,0,0
2021-10-19,0,0
2021-10-20,0,0
2021-10-21,0,0
2021-10-22,0,0
2021-10-23,0,0
2021-10-24,0,0
2021-10-25,0,0
2021-10-26,0,0
2021-10-27,0,0
2021-10-28,0,0
2021-10-29,0,0
2021-10-30,0,0
2021-10-31,0,0
